city_clean,city_listing_count
davie,405
daviess co,4
davis,492
davis city,6
davis creek,8
davis junction,18
davis park,1
davisboro,12
davisburg,3
davison,162
daviston,2
davisville,15
davy,1
dawn,3
dawson,96
dawson springs,12
dawsonville,265
day,9
dayhoit,2
days creek,2
dayton,2127
dayton lakes,2
dayton township,3
daytona beach,670
daytona beach shores,127
dayville,5
dazey,4
de beque,20
de berry,15
de borgia,6
de graff,26
de lancey,1
de land,8
de leon,69
de leon springs,51
de mossville,16
de pere,425
de peyster,3
de queen,27
de smet,12
de soto,405
de tour,1
de tour village,7
de valls bluff,1
dead lake township,1
deadwood,23
deal,8
deal island,29
deale,26
dean,2
deansboro,9
dearborn,123
dearborn heights,85
dearing,22
deary,16
deatsville,104
deaver,1
debary,207
decatur,2103
decatur city,3
decatur county,2
decatur island,13
decaturville,44
decherd,15
decker,2
deckerville,9
declo,11
decorah,65
decordova,14
dededo,45
dedham,160
deep gap,68
deep river,34
deep river township,1
deep run,30
deephaven,18
deepwater,22
deer,8
deer creek,22
deer grove,7
deer island,17
deer isle,19
deer lake unorg terr,1
deer lodge,91
deer meadows,24
deer park,626
deer river,49
deer trail,45
deer valley,5
deerbrook,15
deerfield,350
deerfield beach,604
deerfield township,102
deerhead,1
deering,4
deersville,1
deerton,2
deerwood,38
deeth,10
deferiet,5
defiance,174
deford,5
deforest,312
defuniak springs,257
dekalb,347
dekalb junction,9
del city,227
del haven,20
del loma,1
del mar,109
del norte,30
del rey,3
del rey oaks,17
del rio,498
del sur,25
del valle,58
delafield,42
delancey,1
delanco,47
deland,793
delano,216
delanson,17
delaplaine,4
delaplane,17
delavan,188
delaware,327
delaware city,28
delaware township,1
delaware water gap,6
delbarton,5
delcambre,7
delco,7
delevan,22
delhi,111
delhi township,66
delight,6
dell,4
dell city,6
dell rapids,35
delleker,4
dellrose,2
dellroy,15
dellwood,8
delmar,154
delmita,1
delmont,41
deloit,1
delong,1
delphi,9
delphos,20
delran,73
delray,14
delray beach,1472
delta,207
delta junction,82
delta township,1
deltaville,63
delton,19
deltona,852
demarest,22
deming,314
demopolis,31
demorest,75
demotte,44
denair,47
denbo,2
dendron,5
denham springs,467
denhoff,1
denison,402
denmark,52
denmark township,7
dennard,6
denning,1
dennis,126
dennis port,67
dennis township,1
dennison,48
denniston,2
dennisville,6
dennysville,3
dent,10
denton,835
denton township,4
denver,2897
denver city,19
denville,136
depauville,1
depauw,4
depew,208
depoe bay,64
deport,8
deposit,46
deptford,42
deptford township,1
depue,3
deputy,4
dequincy,76
derby,300
deridder,222
derma,1
dermott,4
derrick city,2
derry,77
deruyter,10
derwood,70
des allemands,19
des arc,8
des lacs,1
des moines,2478
des montes,1
des peres,13
des plaines,600
descanso,28
desdemona,2
desert center,20
desert hills,4
desert hot springs,727
desert lake,1
desert shores,2
desha saint,1
deshler,8
desloge,46
desmet,7
desoto,335
destin,541
destiny ln,1
destrehan,32
detour,2
detroit,2121
detroit lakes,109
devalls bluff stuttgart,1
devens,8
devers,18
deville,45
devils elbow,2
devils lake,48
devils nest crofton,1
devils tower,1
devine,70
devol,1
devon,46
devonshire,5
devore heights,25
dew,13
dewar,5
dewberry saint,1
dewees island,16
dewey,82
dewey beach,17
dewey humboldt,245
deweyville,9
dewhurst township,1
dewitt,215
dewittville,11
dewy rose,10
dexter,250
dexter city,7
dexter township,8
diablo,12
diagonal,3
diamond,52
diamond bar,225
diamond beach,1
diamond bluff,3
diamond city,18
diamond head vista walsenburg,1
diamond head west walsenburg,1
diamond springs,37
diamond valley,2
diamondhead,143
diamondville,1
diana,54
dias creek,1
diberville,1
diboll,15
dickens,3
dickerson,25
dickeyville,2
dickinson,693
dickinson center,2
dickson,110
dickson city,35
dierks,4
dieterich,3
dietrich,13
diggins,1
diggs,4
dighton,24
dike,39
dilia,3
dill city,4
dillard,42
dilley,21
dilliner,3
dillingham,1
dillon,221
dillon beach,3
dillonvale,23
dillsboro,27
dillsburg,145
dilltown,1
dillwyn,35
dilworth,9
dime box,10
dimmitt,5
dimock,3
dimondale,28
dinero,11
ding dong,1
dingle,2
dingmans ferry,216
dinosaur,11
dinsmore,9
dinuba,37
dinwiddie,22
discovery bay,210
dish,1
disney,6
disputanta,65
district,1
district heights,184
dittmer,60
divernon,4
divide,51
dix,7
dix hills,121
dixfield,13
dixie,9
dixie ln alexandria,8
dixie valley,1
dixmont,7
dixmoor,4
dixon,595
dixon springs,1
dixons mills,1
dobbin,1
dobbins,25
dobbs ferry,21
dobson,45
docena,5
dodd city,14
doddridge,15
doddsville,1
dodge,9
dodge center,28
dodge city,38
dodgeville,82
dodson,10
dodson township,3
doe hill,1
doe run,11
doe valley,1
doerun,5
dog island,1
dolan springs,223
doland,1
dolgeville,27
dolliver,3
dolomite,4
dolores,63
dolostone dr pocatello,10
dolph,4
dolphin,1
dolton,222
dome valley,1
domino,1
dona ana,1
donahue,1
donald,3
donalds,10
donaldson,8
donaldsonville,22
donalsonville,76
donegal,4
dongola,10
donie,13
doniphan,94
donna,151
donnellson,7
donnelly,187
donnelsville,1
donora,27
donovan,3
doolittle,1
doon,1
dora,81
dorado,96
doral,727
doraville,60
dorcas,1
dorchester,45
dore,1
dorena,8
dornsife,7
dorothy,5
dorr,26
dorrance,4
dorrington,25
dorris,38
dorset,25
dorsey,6
dortches,3
dos palos,35
dos rios,1
doss,2
doswell,21
dothan,410
dothan city limits,31
doty,1
double adobe,2
double bayou,1
double oak,9
double springs,150
doucette,1
douds,2
dougherty,3
douglas,381
douglas city,25
douglas flat,2
douglass,15
douglassville,80
douglaston,87
douglasville,698
dousman,46
dove creek,20
dover,1359
dover foxcroft,25
dover plains,41
dover township,1
dow,7
dow city,1
dowagiac,76
dowell,4
dowelltown,2
dowling,6
dowling park,10
downers grove,450
downey,257
downieville,2
downingtown,394
downs,30
downsville,31
dows,3
doyle,30
doyle township,4
doylesburg,4
doylestown,462
doyline,26
dozier,12
dr unit 39 deming,1
dr unit 42 deming,1
dr unit 78 deming,2
dr unit 80 deming,1
dracut,126
dragoon,4
drain,14
drake,13
drakes branch,13
drakesboro,2
drakesville,6
draper,138
draper township,2
drasco,64
dravosburg,11
drayden,15
drayton,4
drayton loop,3
dresden,78
dresher,41
dresser,21
drewryville,1
drewsey,2
drexel,11
drexel hill,208
drift,3
drifting,5
driftwood,36
driftwood pa,1
driftwood parking park,1
driggs,121
dripping springs,179
driscoll,3
druid,1
drummond,22
drummond island,81
drummonds,10
drumore,7
drumright,27
drums,95
drury,5
dry branch,12
dry creek,10
dry fork,23
dry prong,20
dry ridge,79
dryden,77
dryden vlg,1
dryfork,13
drytown,4
dsrt hot spgs,10
du bois,2
du quoin,43
duane,5
duanesburg,52
duarte,108
dubach,21
dubberly,4
dublin,1068
dubois,185
duboistown,1
dubuque,159
duchesne,71
duck,86
duck creek,8
duck creek village,48
duck hill,3
duck river,12
ducktown,15
duckworth rd,1
ducor,3
dudley,111
dudleyville,4
due west,7
duenweg,20
duette,8
duff,18
duffield,19
dufur,14
dugger,3
dugspur,16
duke,7
duke center,2
dukedom,5
dulac,11
dulce,1
duluth,721
dulzura,18
dumas,44
dumfries,362
dummer,5
dummerston,1
dumont,39
dunbar,49
dunbar t wi,3
dunbarton,7
duncan,415
duncan falls,8
duncan township,2
duncannon,51
duncansville,50
duncanville,192
duncombe,3
dundalk,144
dundas,44
dundee,186
dundee vlg,3
dune acres,1
dunedin,476
dunellen,57
dunellen borough,2
dunfermline,2
dungannon,1
dunkerton,11
dunkirk,151
dunlap,270
dunlo,2
dunlow,2
dunmor,4
dunmore,81
dunn,85
dunn center,1
dunn loring,18
dunnavant,1
dunnegan,6
dunnell,6
dunnellon,1138
dunnigan,10
dunning ave,1
dunnsville,32
dunnville,8
dunreith,2
dunrieth,1
dunsmuir,28
dunstable,18
dunwoody,172
dupo,34
dupont,92
dupont rd,1
dupuyer,2
duquesne,24
durand,52
durango,268
durant,184
durbin,2
durham,736
durhamville,11
durkee,7
durre dr,2
duryea,28
dushore,17
duson,106
dustin,14
dutch flat,10
dutchtown,1
dutton,26
duvall,110
duxbury,105
dwale,1
dwarf,2
dwight,59
dyer,65
dyer brook,1
dyersburg,167
dyersville,15
dyerville loop rd,1
dyke,26
dyker heights,1
dysart,19
e5086 sunset rd,1
e5214 margaret saint,1
e724 powers rd,1
eads,48
eagan,401
eagar,47
eagle,648
eagle bay,8
eagle bend,10
eagle bridge,1
eagle butte,2
eagle creek,17
eagle grove,19
eagle harbor,11
eagle lake,95
eagle mountain,329
eagle nest,38
eagle pass,303
eagle point,158
eagle river,216
eagle rock,63
eagle springs,8
eagle township,5
eagle vail,13
eagle view dr deerwood,1
eagles mere,8
eagleswood township,5
eagletown,1
eagleville,112
eakly,1
earl park,1
earl township,1
earle,6
earleton,15
earleville,66
earlham,12
earlimart,20
earling,5
earlington,3
earlsboro,11
earlton,6
earlville,50
early,57
early branch,10
earlysville,52
earth,3
easley,698
east 0 no address panther butte rd,1
east 6th ave,1
east allen township,3
east alton,102
east amana,1
east amherst,107
east amwell,3
east amwell township,23
east arnold ave,1
east atlantic beach,5
east aurora,122
east ave unit hot springs,1
east bangor,6
east bank,2
east barnes saint,1
east bend,40
east berlin,70
east bernard,70
east berne,2
east bernstadt,77
east bethany,12
east bethel,56
east biggs,1
east bloomfield,3
east boston,6
east brady,8
east branch,9
east branch ny,1
east brewton,14
east bridgewater,56
east brookfield,15
east brunswick,303
east butler,1
east canton,52
east carbon,4
east carondelet,7
east central ave,1
east chatham,9
east chicago,36
east china,7
east cleveland,60
east concord,5
east county line rd,1
east dennis,41
east dublin,41
east dubuque,14
east dundee,29
east durham,13
east earl,15
east ellijay,40
east ellis ct,1
east elmhurst,181
east fallowfield township,4
east falmouth,180
east farmingdale,4
east farmington,1
east fishkill,1
east flat rock,22
east flatbush,15
east freedom,6
east galesburg,5
east garrison,20
east glacier park,5
east granby,27
east grand forks,66
east grand rapids,27
east greenbush,124
east greenville,23
east greenwich,125
east greenwich township,1
east gull lake,11
east haddam,67
east hampton,459
east hanover,51
east hartford,137
east harwich,7
east haven,93
east hazel crest,12
east helena,71
east highway 180,1
east hills,17
east hope,1
east islip,44
east jewett,5
east jordan,31
east kingston,1
east lake,2
east lakeside dr,1
east lansdowne,1
east lansing,290
east laurinburg,1
east leroy,8
east liberty,4
east liverpool,173
east longmeadow,110
east los angeles,74
east lyme,117
east lynn,3
east lynne,5
east machias,19
east marion,11
east mckeesport,10
east meadow,127
east meredith,3
east millinocket,5
east millsboro,3
east moline,88
east montpelier,3
east moriches,42
east moxie township,1
east nassau,11
east new market,45
east new york,3
east newark,4
east norriton,17
east northport,108
east norwich,6
east orange,263
east otto,5
east palatka,54
east palestine,42
east palo alto,108
east patchogue,90
east penn township,4
east peoria,153
east petersburg,98
east pittsburgh,26
east point,283
east prairie,25
east prospect,2
east providence,276
east quogue,84
east rancho dominguez,1
east ridge,2
east rochester,39
east rockaway,68
east rockhill township,1
east rutherford,20
east saint louis,42
east san diego,4
east sandwich,66
east setauket,35
east shore rd,1
east sparta,14
east spencer,10
east springfield,6
east stroudsburg,584
east superior superior,1
east sycamore saint,1
east syracuse,98
east tawakoni,25
east tawas,29
east troy,108
east union township,1
east vandergrift,9
east vineland,1
east wareham,6
east waterford,3
east wenatchee,233
east williston,6
east windsor,164
east york,1
eastaboga,24
eastampton,27
eastanollee,16
eastborough,2
eastbrook,6
eastchester,15
eastern,2
eastford,21
eastham,100
easthampton,88
eastlake,152
eastland,58
eastman,84
easton,557
eastover,31
eastpoint,131
eastpointe,84
eastport,51
eastpt,1
eastvale,315
eastview,11
eastville,21
eaton,150
eaton park,3
eaton rapids,86
eatonton,412
eatontown,61
eatonville,140
eau claire,409
eau galle,6
eau gallie,1
ebeemee township,1
ebensburg,18
ebony,25
ebro,10
echo,15
echo lake,2
echo township,1
eckerman,1
eckert,18
eckerty,4
eckhart mines,6
eckley,3
eclectic,31
economy,1
ecorse,28
ecru,21
ector,13
ed yeomans rd,1
edcouch,36
eddington,5
eddy,12
eddystone,5
eddyville,158
edelstein,3
eden,445
eden prairie,383
eden valley,21
edenton,264
edenville,3
edgar,15
edgar springs,30
edgard,1
edgartown,88
edge hill,2
edgecliff village,15
edgecomb,9
edgefield,80
edgefield county,1
edgeley,3
edgemere,9
edgemont,75
edgemoor,8
edgerton,141
edgewater,598
edgewater park,42
edgewater township,2
edgewood,770
edgewood blvd,1
edgewood dr little river,1
edina,551
edinboro,50
edinburg,762
edinburgh,15
edison,451
edison township,1
edisto,1
edisto beach,11
edisto island,60
edmeston,16
edmond,2509
edmonds,402
edmonton,32
edmore,11
edmunds township,2
edna,56
edna bay,3
edna township,2
edneyville,3
edom,8
edon,10
edroy,1
edson,2
edwall,6
edward,5
edwards,309
edwardsburg,52
edwardsport,1
edwardsville,320
edwin,1
effie,20
effingham,129
effington township,1
effort,93
efland,12
egan,2
egbert,1
egegik,1
egg harbor,97
egg harbor city,70
egg harbor township,292
eggertsville,5
eggleston,4
eglon,2
egnar,5
egremont,27
egypt,2
ehrenberg,3
eidson,16
eight mile,28
eighty eight,1
eighty four,37
eind,1
eisenstein,1
ekalaka,1
ekron,19
el cajon,1035
el cajon ca,1
el campo,146
el cenizo,6
el centro,71
el cerrito,171
el cerrito valle del cauca,1
el dara,2
el dorado,214
el dorado hills,580
el dorado springs,44
el granada,33
el guache,1
el guique,1
el indio,13
el jebel,1
el lago,22
el llano,1
el macero,6
el mirage,242
el monte,261
el morro,1
el nido,3
el paso,4168
el portal,22
el prado,148
el ranchito,1
el reno,185
el rito,15
el rito latir,2
el sauz,1
el segundo,79
el sereno,12
el sobrante,97
el valle,2
elaine,2
elaine av bay minette,1
eland,1
elba,43
elba township,18
elbe,4
elberfeld,5
elberon,15
elbert,37
elberta,143
elberton,140
elbow lake,14
elbridge,11
elburn,139
elcho,13
elco,2
eldena,2
eldersburg,25
elderton,2
eldon,68
eldora,25
eldorado,47
eldred,26
eldridge,52
eleanor,7
eleanor ct,1
electra,12
electric city,16
eleele,3
elephant butte,119
eleva,17
elevenpoint,1
elfrida,53
elgin,1196
eliasville,1
elida,7
eliot,16
elizabeth,303
elizabeth city,766
elizabeth lake,2
elizabethton,124
elizabethtown,527
elizabethville,12
elizaville,22
elk,57
elk city,242
elk creek,31
elk falls,2
elk garden,8
elk grove,1086
elk grove village,205
elk horn,13
elk mills,3
elk mound,14
elk park,59
elk point,59
elk rapids,48
elk ridge,20
elk river,231
elk run heights,8
elk saint,2
elk township,1
elka park,5
elkader,15
elkhart,187
elkhart lake,41
elkhorn,356
elkhorn city,14
elkin,78
elkins,187
elkins park,115
elkland,25
elkland township,2
elkmont,11
elko,265
elko new market,75
elkridge,219
elkton,459
elkview,37
elkville,7
elkwood,10
ellabell,71
ellamore,4
ellaville,10
ellenboro,43
ellenburg,8
ellenburg center,10
ellenburg depot,10
ellendale,57
ellensburg,284
ellenton,216
ellenville,45
ellenw,1
ellenwood,280
ellerbe,16
ellerslie,16
ellettsville,48
ellicott city,509
ellicottville,138
ellijay,1267
ellinger,3
ellington,81
ellinwood,19
elliott,7
elliottsburg,5
elliottsville township,2
ellis,28
ellis grove,1
ellisburg,4
ellison bay,22
elliston,57
ellisville,233
elloree,70
ellsinore,15
ellston,45
ellsworth,141
ellwood city,91
elm city,50
elm creek,3
elm grove,82
elm hall,1
elm mott,11
elma,131
elmendorf,91
elmer,64
elmer city,5
elmer township,1
elmhurst,552
elmira,271
elmira heights,22
elmo,12
elmont,132
elmora,1
elmore,67
elmore city,31
elmsford,17
elmwood,67
elmwood park,242
elmwood place,5
elon,42
elora,4
eloy,693
elrod,7
elroy,13
elsa,15
elsah,10
elsanor,4
elsberry,68
elsie,13
elsinore,2
elsmere,55
elton,9
eltopia,6
elverson,20
elverta,65
elwell,8
elwood,93
ely,151
ely township,3
elyria,387
elysburg,8
elysian,21
elysian fields,2
embarrass,16
embassy dr mount pleasant,1
embden,15
emblem,1
embudo,1
emden,6
emeigh,1
emerado,1
emerald,4
emerald bay estates 4th add wichita,1
emerald isle,165
emerson,34
emery,2
emery township,1
emeryville,136
emhouse,1
emigrant,12
emigrant gap,7
emigration canyon,2
emigsville,3
emily,41
eminence,33
emington,1
emlenton,9
emlyn,3
emma,1
emmalena,1
emmaus,50
emmerton,1
emmet,6
emmetsburg,15
emmett,280
emmett township,6
emmett vlg,1
emmitsburg,33
emmons,6
emory,164
empire,93
empire city,2
empire township,2
emporia,127
emporium,24
emporium pa,4
en a wen da,1
encampment,10
enchanted oaks,13
encinal,14
encinitas,274
encino,395
endeavor,9
endicott,200
endwell,28
energy,8
enfield,181
engadine,4
engelhard,6
england,56
englewood,1261
englewood cliffs,25
english,9
englishtown,34
enid,655
enid kremlin,2
enigma,7
enloe,4
ennice,42
ennis,266
enoch,31
enola,128
enon,15
enon valley,5
enon vlg,4
enoree,43
enosburg falls,10
ensenada,3
ensign township,1
enterprise,276
entiat,17
enumclaw,221
enville,1
eo790 road,1
eola,2
eolia,13
epes,1
ephraim,23
ephrata,297
ephratah,10
epoufette,4
epping,47
epps,2
epsom,16
epworth,49
equality,7
equinunk,35
era,15
erath,20
erda,9
erdenheim,5
erhard,2
erial,2
erick,24
ericson,1
ericson lakes,1
erie,1281
erie pa,2
erieville,10
erin,38
erin township,1
erlanger,165
erma,28
ermine,2
ernest,2
ernul,6
eros,14
errol,3
erskine,14
erskine creek rd,1
erving,8
erwin,112
erwin township,1
erwinna,4
erwinville,1
esbon,2
escalante,3
escalon,105
escanaba,45
escatawpa,3
escondido,1051
esko,16
eskridge,6
esmond,1
esmont,20
esopus,13
espalier drive,1
espanola,93
esparto,28
esperance,15
esperance village,1
espyville,13
essex,275
essex fells,10
essexville,27
essington,25
estacada,137
estancia,74
estell manor,17
estelline,6
estero,573
estes park,78
estherville,53
estherwood,3
estill,11
estill springs,30
estillfork,4
estral beach,1
estral beach vlg,2
ethel,54
ethelsville,1
ethridge,22
etiwanda,1
etlan,5
etna,63
etna green,1
etoile,22
etowah,94
etta,1
etters,78
ettersburg,2
ettrick,6
eubank,28
eucha,57
euclid,537
eudora,11
eufaula,428
eugene,822
euharl,1
euharlee,37
euless,237
eulonia,1
eunice,113
eupora,11
eure,11
eureka,501
eureka mill,1
eureka springs,315
eureka township,1
eustace,34
eustis,433
eutaw,14
eutawville,40
eva,16
evadale,2
evan,1
evangeline,1
evans,705
evans city,50
evans mills,32
evansdale,31
evanston,628
evansville,439
evant,43
evart,45
evarts,13
eveleth,36
evendale,11
evening shade,13
evensville,48
everett,1141
everetts,6
everglades city,51
evergreen,160
evergreen park,85
evergreen township,2
everhigh acres rd,1
everly,3
everman,18
everson,56
everton,18
evesham,5
evington,32
ewa beach,205
ewell,15
ewen,2
ewing,229
ewing township,11
excel,1
excello,1
excelsior,14
excelsior springs,82
exchange,3
excursion inlet,2
exeland,16
exeter,208
exeter township,10
exira,18
exline,7
exmore,46
export,71
exton,68
eynon,8
eyota,18
ezel,6
ezzell,3
f m 2031 rd farm to market farm to market road,1
fabens,7
faber,17
fabius,15
fackler,3
factoryville,34
fair bluff,8
fair grove,28
fair haven,56
fair lawn,67
fair oaks,347
fair oaks ranch,51
fair play,85
fairbank,3
fairbanks,308
fairbn,2
fairborn,128
fairburn,442
fairbury,61
fairchance,7
fairchild,11
fairchilds,6
fairdale,11
fairdealing,10
fairfax,1266
fairfax station,129
fairfield,1476
fairfield bay,185
fairfield glade,224
fairfield harbour,1
fairfield township,61
fairfield twp,3
fairgrove,4
fairhaven,67
fairhaven township,1
fairhope,533
fairland,24
fairlawn,65
fairlee,2
fairless hills,44
fairmead,2
fairmont,524
fairmont city,2
fairmount,72
fairmount city,2
fairmount heights,15
fairplay,119
fairport,192
fairport harbor,27
fairton,1
fairview,575
fairview heights,76
fairview park,59
fairview township,7
fairwater,4
fairway,19
fairy,2
faison,6
faith,3
faith hill dr alexandria,8
faithorn township,1
fajardo,57
falcon,16
falcon heights,27
falcon ln belle plaine,4
falconer,24
falfurrias,42
falkner,3
falkville,35
fall branch,11
fall city,46
fall creek,21
fall river,357
fall river mills,22
fallbrook,601
fallbrook bonsall,1
fallentimber,3
falling leaf trl park rapids,5
falling spring,1
falling waters,152
fallis,1
fallon,232
falls,6
falls church,829
falls city,44
falls creek,8
falls mills,5
falls of rough,51
falls view,1
fallsburg,37
fallsington,1
fallston,100
falmouth,195
fancy farm,2
fancy gap,82
fannett,3
fannettsburg,2
fannin,1
fanning springs,37
fanshawe,2
fanwood,29
far hills,15
far rockaway,122
farber,2
fargo,225
faribault,174
farina,2
farley,3
farlington,1
farmdale,8
farmer city,38
farmers branch,250
farmersburg,9
farmersville,143
farmersville station,3
farmerville,91
farmingdale,210
farmington,1729
farmington hills,82
farmington township,14
farmingville,89
farmland,7
farmville,214
farner,3
farnham,22
farnhamville,1
farr west,22
farragut,30
farrell,27
farris,3
farson,3
farwell,100
fashing,1
fate,180
faucett,2
faulkner,4
faunsdale,1
fawn grove,9
fawn lake township,13
fawnskin,46
faxon,1
faxon township,2
fay,2
fay ranch,1
fayette,102
fayette city,13
fayetteville,2934
fayston,9
faywood,4
fbks,1
feasterville,1
feasterville trevose,82
feather falls,6
featherville,1
federal dam,14
federal heights,20
federal way,669
federalsburg,68
fedscreek,1
feed,1
felch,4
felda,1
felicity,2
fell township,1
fell twp,2
fellows,2
fellsmere,71
felsenthal,1
felt,5
felton,247
felts mills,2
fence,9
fence lake,12
fenelton,1
fennimore,22
fennville,68
fenton,476
fentress,5
fenway,2
fenwick,9
fenwick island,29
ferdinand,4
fergus falls,87
ferguson,97
ferguson drive,2
fern park,19
fernandina bch,6
fernandina beach,574
ferndale,224
fernley,383
fernwood,26
ferrelview,1
ferriday,30
ferris,93
ferrisburgh,13
ferron,4
ferrum,38
ferryville,9
fertile,10
fessenden,4
festus,520
feura bush,1
fiarburn,1
fiatt,1
fiddletown,37
field store,1
fieldale,15
fielding,16
fieldon,8
fields,3
fieldsboro,5
fife,56
fife lake,49
fifield,33
fifty lakes,10
fifty six,7
filer,54
fillmore,165
fincastle,47
finchville,12
findlay,312
findley lake,5
fine,8
fineview,1
fingal,2
finger,11
fingerville,2
finksburg,119
finland,17
finlayson,20
finley,9
finleyville,55
fircrest,44
fire island pine,14
fire island pines,1
firebaugh,15
firebird ln,1
firebrick,2
firestone,127
first saint saint maries,2
firth,15
fischer,93
fish camp,5
fish creek,33
fish haven,75
fish lake,4
fisher,38
fisher island,6
fishers,264
fishers landing,2
fishersville,64
fishertown,1
fisherville,37
fishing creek,11
fishkill,144
fishtail,4
fisk,1
fitchburg,427
fithian,4
fittstown,1
fitzgerald,58
fitzhugh,4
fitzpatrick,5
fitzwilliam,14
five points,5
flag pond,4
flagler,4
flagler beach,144
flagstaff,517
flagstaff township,1
flanagan,15
flanders,11
flanders saint mchenry,1
flandreau,5
flasher,1
flat lick,16
flat rock,199
flatbush,6
flatgap,5
flatlands,1
flatonia,42
flatwoods,42
flaxville,1
fleetville,2
fleetwood,220
fleischmanns,16
fleming,29
fleming island,168
flemingsburg,43
flemington,88
flensburg,2
fletcher,222
fletchers landing township,1
flint,826
flint hill,11
flinton,19
flintstone,31
flintville,6
flippin,124
flomaton,21
floodwood,10
flora,135
flora vista,14
florahome,78
floral,7
floral city,152
floral park,206
florala,33
florence,2471
florence t wi,16
floresville,222
florham park,64
florida,38
florida city,179
florida ridge,1
florien,22
floris,6
florissant,961
floriston,2
flossmoor,37
flournoy,1
flourtown,19
flovilla,21
flower,3
flower mound,526
flowery branch,300
flowood,70
floyd,94
floydada,5
floyds knobs,87
fluker,1
flushing,1004
fly creek,3
flynn,1
flynn township,1
fm 1416,1
fm 1593,2
fm 1927,1
fm 237,1
fm 2484,1
fm 2629,1
fm 439,1
fm 490,2
fm 940,1
fogelsville,5
folcroft,38
foley,531
folkston,66
follansbee,58
follett,4
folly beach,35
folsom,693
fombell,5
fond du lac,558
fonda,20
fontana,1221
fontanelle,5
foosland,6
foothill ranch,6
footville,3
forbes,4
forbes road,1
forbestown,5
ford,32
ford city,26
ford cliff,1
ford heights,4
ford river township,2
fordland,28
fordoche,3
fords,60
fordsville,9
fordville,1
fordyce,18
foreman,7
forest,213
forest acres,1
forest city,240
forest city township,2
forest falls,23
forest grove,167
forest heights,2
forest hill,199
forest hills,545
forest knolls,3
forest lake,158
forest lakes,20
forest park,291
forest prairie township,10
forest ranch,40
forest rd cannon falls,1
forest township,3
forest view,3
forestburg,10
forestburgh,17
forestdale,26
foresthill,115
foreston,11
forestport,27
forestville,73
forestville vlg,1
forgan,3
foristell,91
fork,7
fork union,19
forked river,138
forkland,5
forks,53
forks township,18
forkston township,1
forksville,6
formoso,2
forney,709
forrest,12
forrest city,33
forreston,15
forsan,1
forsyth,448
forsyth township,7
fort ann,45
fort ann village,1
fort ashby,31
fort atkinson,63
fort belvoir,13
fort benton,24
fort bidwell,3
fort blackmore,5
fort bragg,97
fort branch,1
fort bridger,4
fort calhoun,11
fort cobb,27
fort collins,1096
fort covington,11
fort davis,47
fort defiance,8
fort denaud,22
fort deposit,5
fort dodge,102
fort duchesne,2
fort edward,39
fort edward village,14
fort fairfield,18
fort gaines,16
fort garland,99
fort gay,10
fort gibson,32
fort gratiot,42
fort gratiot township,1
fort hancock,27
fort hill,1
fort howard,1
fort hunter,2
fort jackson,1
fort jennings,1
fort johnson,7
fort jones,40
fort kent,28
fort king george dr,1
fort laramie,13
fort lauderdale,1894
fort lawn,17
fort lee,258
fort littleton,1
fort loramie,5
fort loudon,46
fort lupton,58
fort madison,101
fort mccoy,228
fort mcdowell,27
fort mckavett,1
fort meade,105
fort mill,458
fort mitchell,74
fort mohave,415
fort montgomery,1
fort morgan,103
fort motte,1
fort myers,2901
fort myers beach,321
fort oglethorpe,14
fort payne,80
fort peck,6
fort pierce,675
fort pierre,38
fort plain,47
fort recovery,5
fort rice,1
fort ripley,7
fort salonga,13
fort scott,48
fort seybert,1
fort shaw,8
fort smith,249
fort stewart,1
fort stockton,98
fort sumner,9
fort supply,6
fort thomas,133
fort towson,10
fort valley,113
fort walton beach,274
fort washington,331
fort wayne,351
fort white,130
fort worth,6959
fort worth eagle mountain,1
fort wright,63
fort yates,1
fortescue,10
fortine,13
fortson,76
fortuna,27
fortville,85
forty fort,21
foss,7
foss lake,2
fossil,5
fosston,6
foster,71
foster city,171
foster rd,1
foster township,3
fosters,31
fostoria,71
fouke,3
fountain,217
fountain city,29
fountain green,14
fountain hill,6
fountain hills,489
fountain inn,254
fountain lake,1
fountain run,12
fountain valley,183
fountaintown,10
fountainville,5
four corners,1
four lakes,1
four oaks,50
four seasons,78
four states,1
fowler,52
fowlerton,2
fowlerville,59
fowlerville vlg,1
fowlkes,1
fowlstown,1
fox,9
fox island,46
fox lake,128
fox point,49
fox river grove,40
foxboro,70
foxburg,5
foxfire village,26
foxfire vlg,2
foxhome,1
foxworth,18
foyil,1
frackville,32
frakes,5
frametown,4
framingham,311
framington,1
francestown,1
francesville,2
francis,120
francis creek,25
francisco,1
francitas,3
franconia,28
frankenlust township,1
frankenmuth,18
frankford,144
frankford township,31
frankfort,675
frankfort township,2
franklin,2182
franklin furnace,10
franklin grove,17
franklin lakes,71
franklin park,69
franklin springs,2
franklin square,69
franklin township,66
franklin twp,280
franklin vlg,15
franklinton,268
franklintown,1
franklinville,174
frankston,63
franksville,55
frankton,11
franktown,47
frannie,2
fraser,219
frazee,26
frazeysburg,18
frazier park,121
frazier saint,1
fraziers bottom,13
fred,2
frederic,39
frederica,43
frederick,1598
fredericksburg,2170
fredericktown,127
frederiksted,136
fredon,1
fredon township,20
fredonia,139
free soil,12
free union,20
freeborn,3
freeburg,23
freeburn,1
freedom,109
freedom township,1
freehold,260
freeland,168
freelandville,2
freeman,18
