description,price,description_clean
"11600 Prairie Hen Ln, Austin, TX 78758 is a single family home that contains 1,377 sq ft and was built in 1983. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $366,302. The Rent Zestimate for this home is $1,850/mo. ",335000.0,"11600 prairie hen ln, austin, tx 78758 is a single family home that contains 1,377 sq ft and was built in 1983. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"4307 Andalusia Dr, Austin, TX 78759 is a single family home that contains 2,766 sq ft and was built in 1972. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $705,070. The Rent Zestimate for this home is $2,600/mo. ",569900.0,"4307 andalusia dr, austin, tx 78759 is a single family home that contains 2,766 sq ft and was built in 1972. it contains 4 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"The view is AMAZING at this fabulous lock & leave home in North Cat Mountain. Tremendous windows afford long Hill Country views from every angle. Floorplan is an entertainer's dream w/wet bar and light-filled dining & living areas. Owner designed, custom kitchen w/ custom cabinets, hidden step ladder, appliance hideaway, double ovens, pot filler & sunny breakfast area. Disability features include wide doors, electric chair & hand rails. One story w/ stair lift in garage. 2017 Solar panels-bills range from below $0-$110 monthly.",599000.0,"the view is amazing at this fabulous lock leave home in north cat mountain. tremendous windows afford long hill country views from every angle. floorplan is an entertainer s dream w/wet bar and light-filled dining living areas. owner designed, custom kitchen w/ custom cabinets, hidden step ladder, appliance hideaway, double ovens, pot filler sunny breakfast area. disability features include wide doors, electric chair hand rails. one story w/ stair lift in garage. 2017 solar panels-bills range from below - monthly."
Rare find in this up and coming revitalized neighborhood near I-35 & Mopac The Village At Quail Creek this home has tons of updates and is sits on a lovely corner lot providing a large back yard area for families. This home will not last so please call for details today!,320000.0,rare find in this up and coming revitalized neighborhood near i-35 mopac the village at quail creek this home has tons of updates and is sits on a lovely corner lot providing a large back yard area for families. this home will not last so please call for details today!
"4908 Bob Cat Run, Austin, TX 78731 is a single family home that contains 1,968 sq ft and was built in 1983. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $652,181. The Rent Zestimate for this home is $2,800/mo. ",598000.0,"4908 bob cat run, austin, tx 78731 is a single family home that contains 1,968 sq ft and was built in 1983. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Great Hills Fixer-upper! Great Location! EASY access to Mopac, 183 and 360. Beautiful views, expansive outdoor space. Usable yard and in-ground pool. Great outdoor entertaining area. Bring your investors or ""do-it-yourself"" buyers. Main floor master with master bath, kitchen and 2 living areas. Second floor down with additional entrance, has three beds, two additional full baths and large family room. Potential for downstairs to be remodeled as mother-in-law apartment or rental potential.",825000.0,"great hills fixer-upper! great location! easy access to mopac, 183 and 360. beautiful views, expansive outdoor space. usable yard and in-ground pool. great outdoor entertaining area. bring your investors or do-it-yourself buyers. main floor master with master bath, kitchen and 2 living areas. second floor down with additional entrance, has three beds, two additional full baths and large family room. potential for downstairs to be remodeled as mother-in-law apartment or rental potential."
"Very well kept turnkey home ready for first time homebuyer or investor on a corner lot including sprinkler system. Minutes from the Domain and Downtown Austin in a very desirable neighborhood.  Roof, HVAC, and water heater all replaced within past few years. Spacious master bedroom with a study/office area and walk-in closet.",269000.0,"very well kept turnkey home ready for first time homebuyer or investor on a corner lot including sprinkler system. minutes from the domain and downtown austin in a very desirable neighborhood. roof, hvac, and water heater all replaced within past few years. spacious master bedroom with a study/office area and walk-in closet."
"This is the NW Hills gem you've been waiting for. It is 2356 sf of charm and is located on one of the premier streets in the neighborhood. The front yard is full of large trees. The back yard is enclosed with a painted wood privacy fence and has a nice back patio. A big yard, there is even room for a pool in the back - the plans are included! The home is updated throughout including the 4 bedrooms and 3 bathrooms. The Kitchen is lovely and features Shaker Style white cabinets with black granite countertops, a farmhouse sink and a professional quality faucet and stainless steel appliances. The home has carpeted areas as well as both wood and stone floors. The Front Living Space has a gorgeous wood floor with an inlaid strip of contrasting wood. Beautiful paint color choices on the walls, trim and woodwork. Large windows let in lots of light and look out over the tree-covered neighborhood. This is truly the one you've been waiting for! Doss, Murchison and Anderson schools",795000.0,"this is the nw hills gem you ve been waiting for. it is 2356 sf of charm and is located on one of the premier streets in the neighborhood. the front yard is full of large trees. the back yard is enclosed with a painted wood privacy fence and has a nice back patio. a big yard, there is even room for a pool in the back - the plans are included! the home is updated throughout including the 4 bedrooms and 3 bathrooms. the kitchen is lovely and features shaker style white cabinets with black granite countertops, a farmhouse sink and a professional quality faucet and stainless steel appliances. the home has carpeted areas as well as both wood and stone floors. the front living space has a gorgeous wood floor with an inlaid strip of contrasting wood. beautiful paint color choices on the walls, trim and woodwork. large windows let in lots of light and look out over the tree-covered neighborhood. this is truly the one you ve been waiting for! doss, murchison and anderson schools"
"Quintessential Northwest Hills mid-century classic. Highly desirable floor-plan meticulously maintained by original owners. Surrounded by towering heritage oaks this sweet peach showcases covered outdoor living area, bright open spaces, two living areas and a huge master suite. Many updates including, roof, electrical, appliances, many windows, etc. EZ walk to top rated schools. All this plus amazing central location near Domain, Arboretum, parks and only minutes to downtown/UT. Truly a rare gem.",529000.0,"quintessential northwest hills mid-century classic. highly desirable floor-plan meticulously maintained by original owners. surrounded by towering heritage oaks this sweet peach showcases covered outdoor living area, bright open spaces, two living areas and a huge master suite. many updates including, roof, electrical, appliances, many windows, etc. ez walk to top rated schools. all this plus amazing central location near domain, arboretum, parks and only minutes to downtown/ut. truly a rare gem."
"1422 S Meadows Dr, Austin, TX 78758 is a single family home that contains 1,541 sq ft and was built in 1975. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $356,756. The Rent Zestimate for this home is $1,800/mo. ",350000.0,"1422 s meadows dr, austin, tx 78758 is a single family home that contains 1,541 sq ft and was built in 1975. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Like living in a treehouse -- this luxurious home in N. Cat Mountain couldn't be more incredible. Gorgeous views from clerestory windows provide a serene setting, bringing the outdoors in. Private balcony off master adds yet another space to enjoy the view. Hardwood floors, designer tile, high ceilings, floor to ceiling fireplace and open floorplan makes this home excellent for entertaining. Designer kitchen, luxurious tub and walk-in shower, spacious closet and so many more features in this elegant home.",614900.0,"like living in a treehouse -- this luxurious home in n. cat mountain couldn t be more incredible. gorgeous views from clerestory windows provide a serene setting, bringing the outdoors in. private balcony off master adds yet another space to enjoy the view. hardwood floors, designer tile, high ceilings, floor to ceiling fireplace and open floorplan makes this home excellent for entertaining. designer kitchen, luxurious tub and walk-in shower, spacious closet and so many more features in this elegant home."
"8613 Silver Ridge Dr, Austin, TX 78759 is a single family home that contains 2,002 sq ft and was built in 1968. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $698,073. The Rent Zestimate for this home is $2,850/mo. ",599000.0,"8613 silver ridge dr, austin, tx 78759 is a single family home that contains 2,002 sq ft and was built in 1968. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Gorgeous fully remodeled Balcones woods home. Corner lot. New electric. Lennox ac system. New roof. Privacy fenced. Sprinkler system. Brand new stainless appliances in kitchen. All appliances convey. Washer, dryer and grage fridge. New hardwood floors. Bathrooms completely remodeled and updated. neighborhood. braker/183. 4 bedroom 2 bath. Club house with pool, tennis courts, neighborhood activities. Close to all major employers. Perfect location. Great neighborhood for activities very famiiy friendly. Come tour you new home.",565000.0,"gorgeous fully remodeled balcones woods home. corner lot. new electric. lennox ac system. new roof. privacy fenced. sprinkler system. brand new stainless appliances in kitchen. all appliances convey. washer, dryer and grage fridge. new hardwood floors. bathrooms completely remodeled and updated. neighborhood. braker/183. 4 bedroom 2 bath. club house with pool, tennis courts, neighborhood activities. close to all major employers. perfect location. great neighborhood for activities very famiiy friendly. come tour you new home."
"7713 Mesa Dr, Austin, TX 78731 is a single family home that contains 3,358 sq ft and was built in 1969. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $1,052,221. The Rent Zestimate for this home is $4,290/mo. ",935000.0,"7713 mesa dr, austin, tx 78731 is a single family home that contains 3,358 sq ft and was built in 1969. it contains 4 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"*Open House Sat, Feb 29th 2:00-4:00*
Balcones Woods Beauty w/Pool that lives like a one-story! One of the largest lots in the neighborhood & nestled on a quiet cul-de-sac. Excellent schools, amazing amenities & convenient location to Domain & Arboretum. Tranquil backyard w/mature trees, fun pool, playhouse, garden, greenhouse & Kool Kote decking. Fall in love w/the vaulted ceilings, updated baths, corner fireplace, double-paned Anderson windows & wood floors. Beautifully remodeled kitchen w/stainless steel appliances. Upstairs includes 4th bed/flex room.",575000.0,"open house sat, feb 29th 2 00-4 00 balcones woods beauty w/pool that lives like a one-story! one of the largest lots in the neighborhood nestled on a quiet cul-de-sac. excellent schools, amazing amenities convenient location to domain arboretum. tranquil backyard w/mature trees, fun pool, playhouse, garden, greenhouse kool kote decking. fall in love w/the vaulted ceilings, updated baths, corner fireplace, double-paned anderson windows wood floors. beautifully remodeled kitchen w/stainless steel appliances. upstairs includes 4th bed/flex room."
"Great North Austin location between Mopac and IH35. Near the Domain, Arbor Walk, Walnut Creek Metropolitan Park, Kramer metro rail station, and lots of restaurants/shopping. New carpet (July 2019) and fresh paint. Beautifully updated master bath and kitchen! Welcoming entry leads to a large, open family room with lots of natural light and a cozy fireplace.  Relax and entertain loved-ones on the covered patio.",349900.0,"great north austin location between mopac and ih35. near the domain, arbor walk, walnut creek metropolitan park, kramer metro rail station, and lots of restaurants/shopping. new carpet july 2019 and fresh paint. beautifully updated master bath and kitchen! welcoming entry leads to a large, open family room with lots of natural light and a cozy fireplace. relax and entertain loved-ones on the covered patio."
"single story, modern update, vey open.  Large lot and pool/hot tub/fire pit in the backyard",1100000.0,"single story, modern update, vey open. large lot and pool/hot tub/fire pit in the backyard"
"Fabulously remodeled contemporary set on a large private lot that backs to wooded greenbelt!. Upgraded windows, architect designed floating staircase, remodeled baths, hardiplank siding. Newly remodeled kitchen with stainless appliances. Master with sitting/library. Every bedroom with sitting area. Walls of windows in entry, living, dining, kitchen, master and sitting with view to deck, yard & greenbelt. Amazing privacy and one-of-a-kind!",589900.0,"fabulously remodeled contemporary set on a large private lot that backs to wooded greenbelt!. upgraded windows, architect designed floating staircase, remodeled baths, hardiplank siding. newly remodeled kitchen with stainless appliances. master with sitting/library. every bedroom with sitting area. walls of windows in entry, living, dining, kitchen, master and sitting with view to deck, yard greenbelt. amazing privacy and one-of-a-kind!"
"Hard to find newer construction in this price range and area / lives like a stand alone home with no HOA fees and a large private backyard / high ceilings, open and airy - easy living with gorgeous views throughout the main level / bright and cheerful island kitchen with granite, built-in desk and large pantry / recent LG refrigerator conveys / stainless steel appliances and extra deep sink / Hunter Douglas Duette blinds (5K) in living and dining / lots of closets and storage space / security system / main level includes kitchen, dining, family and master / downstairs has two bedrooms with a jack-n-jill bath, a gameroom with wet-bar and access to the backyard / patios and multiple outdoor living areas plus in-ground spa and fire pit / full sprinkler system with drip irrigation in stone planter boxes / beautiful home and area",599000.0,"hard to find newer construction in this price range and area / lives like a stand alone home with no hoa fees and a large private backyard / high ceilings, open and airy - easy living with gorgeous views throughout the main level / bright and cheerful island kitchen with granite, built-in desk and large pantry / recent lg refrigerator conveys / stainless steel appliances and extra deep sink / hunter douglas duette blinds 5k in living and dining / lots of closets and storage space / security system / main level includes kitchen, dining, family and master / downstairs has two bedrooms with a jack-n-jill bath, a gameroom with wet-bar and access to the backyard / patios and multiple outdoor living areas plus in-ground spa and fire pit / full sprinkler system with drip irrigation in stone planter boxes / beautiful home and area"
"Wonderfully maintained 1 story home with 3 bedrooms and 2 baths.  New double pane windows, tile thru out the house, handicap bath tub in master bath.  Nice back yard with big covered deck.  Available NOW.",334900.0,"wonderfully maintained 1 story home with 3 bedrooms and 2 baths. new double pane windows, tile thru out the house, handicap bath tub in master bath. nice back yard with big covered deck. available now."
"Highly coveted Northwest Hills single story on large corner lot. Recent updates include a full kitchen remodel with new maple cabinetry, stainless steel appliances, granite countertops, updated fixtures and hardware. Stunning wood flooring throughout. Full master bathroom update including oversized shower, beautiful tile, and updated granite vanity with double sinks. Spacious living areas allow for flexibility to suit everyone's needs including a home office, formal living, formal dining, fully enclosed sunroom and more. Roof replaced in March 2017. Highly-acclaimed schools Hill, Murchison, & Anderson.",650000.0,"highly coveted northwest hills single story on large corner lot. recent updates include a full kitchen remodel with new maple cabinetry, stainless steel appliances, granite countertops, updated fixtures and hardware. stunning wood flooring throughout. full master bathroom update including oversized shower, beautiful tile, and updated granite vanity with double sinks. spacious living areas allow for flexibility to suit everyone s needs including a home office, formal living, formal dining, fully enclosed sunroom and more. roof replaced in march 2017. highly-acclaimed schools hill, murchison, anderson."
Custom built by Don Skirrow in a prime location. This custom home is perfect if you want to be close to Downtown (approx. 20 min)The Domain(approx. 15 min) The Aboretum(approx. 10 min) University of Texas (approx. 20 min) without the noise!  Located in a peaceful quiet setting and a heavily populated section of trees in the back to enjoy your morning coffee or evening cocktails or just reading your favorite book and relaxing. Cellar area in back for additional storage.,735000.0,custom built by don skirrow in a prime location. this custom home is perfect if you want to be close to downtown approx. 20 min the domain approx. 15 min the aboretum approx. 10 min university of texas approx. 20 min without the noise! located in a peaceful quiet setting and a heavily populated section of trees in the back to enjoy your morning coffee or evening cocktails or just reading your favorite book and relaxing. cellar area in back for additional storage.
"This Austin single story home offers a two-car garage, an open back patio, gas heating, stainless steel appliances and a master bathroom with tile surround step-in shower.",315000.0,"this austin single story home offers a two-car garage, an open back patio, gas heating, stainless steel appliances and a master bathroom with tile surround step-in shower."
"Golden opportunity!  First time on the market since 1973! Proud owner for almost 50 years. Time capsule on large corner lot with mature trees and privacy. Great street in Westover Hills neighborhood in Northwest Hills area. One story home with 3 bed/2.5 bath with large bonus den/office + oversized 2 car garage. Vaulted, beamed ceilings in the main living/dining area + architectural fireplace. Roof ~10 yrs old. Steck Valley Greenbelt and Bull Creek nearby + Whole Foods. Walk to Anderson High and Galaxy Cafe.  Estate sale: Needs TLC & updates. Full of potential. Don't wait!  *Multiple offers received. Offers to be reviewed Monday 9/28.  Please submit by 8pm on Sunday. As-is sale.",575000.0,"golden opportunity! first time on the market since 1973! proud owner for almost 50 years. time capsule on large corner lot with mature trees and privacy. great street in westover hills neighborhood in northwest hills area. one story home with 3 bed/2.5 bath with large bonus den/office oversized 2 car garage. vaulted, beamed ceilings in the main living/dining area architectural fireplace. roof 10 yrs old. steck valley greenbelt and bull creek nearby whole foods. walk to anderson high and galaxy cafe. estate sale needs tlc updates. full of potential. don t wait! multiple offers received. offers to be reviewed monday 9/28. please submit by 8pm on sunday. as-is sale."
"Cozy bungalow in north Austin with fabulous outdoor entertaining space and solar panels. Three full bedrooms, open layout  with kitchen open to dining and living room. Huge Master bedroom. Relax under the brand new pergola in summer or cozy up by the fireplace in winter. This home has all the space you need to feel right at home.",285000.0,"cozy bungalow in north austin with fabulous outdoor entertaining space and solar panels. three full bedrooms, open layout with kitchen open to dining and living room. huge master bedroom. relax under the brand new pergola in summer or cozy up by the fireplace in winter. this home has all the space you need to feel right at home."
"Come take a look at this wonderful single story home in Quail Hollow subdivision.  Property is on a quiet cul-de-sac with great mature oak trees.  New interior paint, subway tile backsplash, and light fixtures.  No carpet.  Spacious private backyard.  Located only minutes from The Domain, Topgolf and quick access to Mopac and I-35.",190000.0,"come take a look at this wonderful single story home in quail hollow subdivision. property is on a quiet cul-de-sac with great mature oak trees. new interior paint, subway tile backsplash, and light fixtures. no carpet. spacious private backyard. located only minutes from the domain, topgolf and quick access to mopac and i-35."
"6508 Santolina Cv, Austin, TX 78731 is a townhome home that contains 1,623 sq ft and was built in 1983. It contains 2 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $432,997. The Rent Zestimate for this home is $2,350/mo. ",310000.0,"6508 santolina cv, austin, tx 78731 is a townhome home that contains 1,623 sq ft and was built in 1983. it contains 2 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Beautiful, light-filled single story townhouse in desirable Northwest Hills. Bright, spacious floor plan with soaring ceilings and skylights features elegant great room and dining area with hardwood floors and granite serving bar. Open kitchen includes double oven, granite counters and breakfast area leading to charming, private garden patio. Master suite includes great closet space, double vanity and distant Hill Country views. No steps when accessed from back door/garage. Shaded community pool.",524999.0,"beautiful, light-filled single story townhouse in desirable northwest hills. bright, spacious floor plan with soaring ceilings and skylights features elegant great room and dining area with hardwood floors and granite serving bar. open kitchen includes double oven, granite counters and breakfast area leading to charming, private garden patio. master suite includes great closet space, double vanity and distant hill country views. no steps when accessed from back door/garage. shaded community pool."
"11203 Brunt Dr, Austin, TX 78758 is a single family home that contains 1,456 sq ft and was built in 1978. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $464,524. The Rent Zestimate for this home is $1,800/mo. ",439900.0,"11203 brunt dr, austin, tx 78758 is a single family home that contains 1,456 sq ft and was built in 1978. it contains 3 bedrooms and 2 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Welcome home! The quintessential NWH home. Walk to the award winning and much sought after Doss, Murchison & Anderson. Completely remodeled 4 bedroom home with spa like baths & gourmet kitchen. Backyard oasis is big enough for parties but quiet enough for just family. Kitchen has granite counters, recessed lighting & highend appliances. Masterbath has radiant heat marble floors, marble counter top on zinc vanity, tankless H2O heater for upstairs baths insures endless hot H2O, traditional tank for downstairs. Look at pictures & schedule a visit!",749999.0,"welcome home! the quintessential nwh home. walk to the award winning and much sought after doss, murchison anderson. completely remodeled 4 bedroom home with spa like baths gourmet kitchen. backyard oasis is big enough for parties but quiet enough for just family. kitchen has granite counters, recessed lighting highend appliances. masterbath has radiant heat marble floors, marble counter top on zinc vanity, tankless h2o heater for upstairs baths insures endless hot h2o, traditional tank for downstairs. look at pictures schedule a visit!"
"You will love this fully remodeled, modern designed home in an amazing location! From the open concept kitchen and living space to the large shaded backyard w/ no neighbors behind, there is plenty of room for your family and friends to enjoy. Relax after a long day or entertain guests on your private deck. This stunning home is full of many great features and is only 2 miles from the Domain, 183, Mopac & 35. And only 11 miles from Downtown. This home is sure to go fast!",369000.0,"you will love this fully remodeled, modern designed home in an amazing location! from the open concept kitchen and living space to the large shaded backyard w/ no neighbors behind, there is plenty of room for your family and friends to enjoy. relax after a long day or entertain guests on your private deck. this stunning home is full of many great features and is only 2 miles from the domain, 183, mopac 35. and only 11 miles from downtown. this home is sure to go fast!"
"Super cute corner unit has an open floorplan with 2 beds & 1.5 baths, dining area & spacious living area with crown molding, fireplace, surround sound & HVAC replaced in 2015. Cozy kitchen features upgraded quartz counters, subway tile backsplash, SS electric range & a breakfast bar. The upstairs master bedroom has 2 closets & a bathroom with walk-in shower. Step outside to the fenced-in private patio & enjoy the views of NW Hills. Centrally located within walking distance to shops, restaurants & schools.",255000.0,"super cute corner unit has an open floorplan with 2 beds 1.5 baths, dining area spacious living area with crown molding, fireplace, surround sound hvac replaced in 2015. cozy kitchen features upgraded quartz counters, subway tile backsplash, ss electric range a breakfast bar. the upstairs master bedroom has 2 closets a bathroom with walk-in shower. step outside to the fenced-in private patio enjoy the views of nw hills. centrally located within walking distance to shops, restaurants schools."
"An immaculate single owner home.  The pictures do not do it justice.
This 4-bedroom 3 bath, 3040 square foot custom built home, while needing some update, is move in ready today.
The full covered patio that extends the entire length of the house is an entertainers delight.  With 4 entries from the master, breakfast, family room and bedroom 4, along with pass throughs from the kitchen and bar area, you will always have easy access to your guests.
There is a second suite with its own bathroom and sitting area along with its own kitchenette.
The skylights in the formal living, kitchen, back porch, breakfast area and main hallway provide an abundance of natural light in the house.
Located in the much sought-after Northwest Hill of Austin, this is a home to make your own.
The property is shown by appointment only.
",799000.0,"an immaculate single owner home. the pictures do not do it justice. this 4-bedroom 3 bath, 3040 square foot custom built home, while needing some update, is move in ready today. the full covered patio that extends the entire length of the house is an entertainers delight. with 4 entries from the master, breakfast, family room and bedroom 4, along with pass throughs from the kitchen and bar area, you will always have easy access to your guests. there is a second suite with its own bathroom and sitting area along with its own kitchenette. the skylights in the formal living, kitchen, back porch, breakfast area and main hallway provide an abundance of natural light in the house. located in the much sought-after northwest hill of austin, this is a home to make your own. the property is shown by appointment only."
"Gorgeous remodel nestled on a quiet cul de sac with clean lines and playful accents throughout. No detail overlooked and home has 4 bedrooms, 3.5 baths and separate office. Incredible entertaining backyard with pool, hot tub, outdoor kitchen, putting green and more feeding into Doss Elementary, Murchison Middle and Anderson High.",1050000.0,"gorgeous remodel nestled on a quiet cul de sac with clean lines and playful accents throughout. no detail overlooked and home has 4 bedrooms, 3.5 baths and separate office. incredible entertaining backyard with pool, hot tub, outdoor kitchen, putting green and more feeding into doss elementary, murchison middle and anderson high."
"New Price! This one of a kind home is an entertainer's dream in an exclusive Northwest Hills gated community! The open floor plan ranch-style home with panoramic Hill Country views make nightly sunsets absolutely unforgettable. Walls of retractable floor to ceiling glass doors open for amazing indoor-outdoor entertaining space. This smart home has updated high tech features. Spend movie nights in the private screening room! The master retreat has a large office, library, spa-like bath & custom walk-in closet. There is tremendous storage throughout the home and garage. The spacious outdoor living space boasts a built-in grill, automatic solar screen, grand lap pool, and zero-scaped low maintenance yard. Don't miss out on this opportunity to own this luxury smart home that is perfect for entertaining at your large event, exclusive movie screening or intimate dinner party.",1175000.0,"new price! this one of a kind home is an entertainer s dream in an exclusive northwest hills gated community! the open floor plan ranch-style home with panoramic hill country views make nightly sunsets absolutely unforgettable. walls of retractable floor to ceiling glass doors open for amazing indoor-outdoor entertaining space. this smart home has updated high tech features. spend movie nights in the private screening room! the master retreat has a large office, library, spa-like bath custom walk-in closet. there is tremendous storage throughout the home and garage. the spacious outdoor living space boasts a built-in grill, automatic solar screen, grand lap pool, and zero-scaped low maintenance yard. don t miss out on this opportunity to own this luxury smart home that is perfect for entertaining at your large event, exclusive movie screening or intimate dinner party."
"There is so much to love about this beautifully remodeled 1960's home. The home is tucked away on a quiet tree-lined street in the much desired Northwest Hills neighborhood and yet it is so close to many stores and restaurants as well as minutes from downtown. The highly rated Doss Elementary School and Murchison Middle School are less than a mile away, and Anderson High School is just down Mesa Dr.  The home boasts over $100K in upgrades in the last 3 years including new siding, windows and doors, electrical panel and upgrades, PVC drain lines, multiple energy efficiency features throughout, and so much more. Renovations include a massive hall bathroom make over down to the studs and the reconfiguration of the converted garage to allow for a mother-in-law suite with separate entrance (5th bedroom) and an office or craft room (or possible butler's pantry). The master bathroom and kitchen have also undergone a large remodel, all contributing to the home's tasteful and contemporary look.",615000.0,"there is so much to love about this beautifully remodeled 1960 s home. the home is tucked away on a quiet tree-lined street in the much desired northwest hills neighborhood and yet it is so close to many stores and restaurants as well as minutes from downtown. the highly rated doss elementary school and murchison middle school are less than a mile away, and anderson high school is just down mesa dr. the home boasts over k in upgrades in the last 3 years including new siding, windows and doors, electrical panel and upgrades, pvc drain lines, multiple energy efficiency features throughout, and so much more. renovations include a massive hall bathroom make over down to the studs and the reconfiguration of the converted garage to allow for a mother-in-law suite with separate entrance 5th bedroom and an office or craft room or possible butler s pantry . the master bathroom and kitchen have also undergone a large remodel, all contributing to the home s tasteful and contemporary look."
"Treehouse living in NW hills!""  PRIVATE, QUIET, w/great VIEW. Townhome style w/no neighbors up or down. $13,000 Energy Star weatherization retrofit incl hi-eff HVAC sys w/heat pump (extended warranty to May '23), sliding glass door & dbl hung windows all low-E dbl pane glass. SUPER LOW utility bills ($70-90/mo per owner). Short walk to pool. End unit only one quiet neighbor. HOA recently repaved parking lot & added new water lines. Good walking neighborhood. Close to Elem & Jr Hi. EZ 20 min to downtown/UT",249700.0,"treehouse living in nw hills! private, quiet, w/great view. townhome style w/no neighbors up or down. energy star weatherization retrofit incl hi-eff hvac sys w/heat pump extended warranty to may 23 , sliding glass door dbl hung windows all low-e dbl pane glass. super low utility bills -90/mo per owner . short walk to pool. end unit only one quiet neighbor. hoa recently repaved parking lot added new water lines. good walking neighborhood. close to elem jr hi. ez 20 min to downtown/ut"
"6306 Mountain Park Cv, Austin, TX 78731 is a single family home that contains 2,678 sq ft and was built in 1984. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $909,215. The Rent Zestimate for this home is $3,750/mo. ",825000.0,"6306 mountain park cv, austin, tx 78731 is a single family home that contains 2,678 sq ft and was built in 1984. it contains 3 bedrooms and 3 bathrooms. the zestimate for this house is . the rent zestimate for this home is /mo."
"Stunning well-appointed home on oversized cul-de-sac lot w/ beautiful curb appeal. From the spacious, flowing floor plan to the open design, this home is great for entertaining! The many windows bring the natural beauty indoors and keep it light & bright! Unwind, relax & restore your soul after a busy day in the resort style backyard featuring a sparkling pool, spacious patio and built-in grilling area. Plenty of flex space for office, exercise room, etc. See update list!",1050000.0,"stunning well-appointed home on oversized cul-de-sac lot w/ beautiful curb appeal. from the spacious, flowing floor plan to the open design, this home is great for entertaining! the many windows bring the natural beauty indoors and keep it light bright! unwind, relax restore your soul after a busy day in the resort style backyard featuring a sparkling pool, spacious patio and built-in grilling area. plenty of flex space for office, exercise room, etc. see update list!"
"WOW!  Great remodel right by Austin's 2nd downtown, the Domain.  House sits in a cul-de-sac on a large lot, though only part of the backyard is fenced in for less maintenance.  Check out that kitchen with all that granite, slick backsplash, and stainless appliances.  New roof, new siding, foundation w/ warranty, new electric panel.  Beautiful old trees.  Close to shopping, food, and all the businesses in the NW Austin Tech corridor.",304900.0,"wow! great remodel right by austin s 2nd downtown, the domain. house sits in a cul-de-sac on a large lot, though only part of the backyard is fenced in for less maintenance. check out that kitchen with all that granite, slick backsplash, and stainless appliances. new roof, new siding, foundation w/ warranty, new electric panel. beautiful old trees. close to shopping, food, and all the businesses in the nw austin tech corridor."
"VIEWS!!! This condo lives like a small home with a private deck on front off the living/dining room to enjoy coffee in the morning & sundown with cocktails in the evening overlooking the hill country. The plus is a large deck and unusually big yard in back for grilling, dining, playing, and pets! The two car garage expands into a big storage area  for all of those extra tools, toys, and seasonal storage items. The living/dining combo enjoys a gas fireplace, vaulted ceilings & wet bar. A cook's kitchen!Restrictions: Yes  Sprinkler Sys:Yes",435000.0,"views!!! this condo lives like a small home with a private deck on front off the living/dining room to enjoy coffee in the morning sundown with cocktails in the evening overlooking the hill country. the plus is a large deck and unusually big yard in back for grilling, dining, playing, and pets! the two car garage expands into a big storage area for all of those extra tools, toys, and seasonal storage items. the living/dining combo enjoys a gas fireplace, vaulted ceilings wet bar. a cook s kitchen!restrictions yes sprinkler sys yes"
"Fantastic 4 bed one story remodel! Split floor plan w/ cathedral ceilings in open living area. Open kitchen w/ new soft close cabinets, SS appliances, granite countertops & bold backsplash. Oversized master w/ double vanities, his/her closets w/ motion censored lighting & walk in shower. Large flex room w/ french doors leading to spacious backyard patio. New Roof, WH, plumbing, electrical, & more. Only 2 miles to the Domain & 2-3 miles to Walnut Creek Park. Nice curb appeal w/ mature tree! See attached.",405000.0,"fantastic 4 bed one story remodel! split floor plan w/ cathedral ceilings in open living area. open kitchen w/ new soft close cabinets, ss appliances, granite countertops bold backsplash. oversized master w/ double vanities, his/her closets w/ motion censored lighting walk in shower. large flex room w/ french doors leading to spacious backyard patio. new roof, wh, plumbing, electrical, more. only 2 miles to the domain 2-3 miles to walnut creek park. nice curb appeal w/ mature tree! see attached."
